sample,Tree,Latitude,Longitude
A31T52.1_14,A31T52,51.423578,-0.2839787
A31T52.1_15,A31T52,51.423578,-0.2839787
A31T52.1_16,A31T52,51.423578,-0.2839787
A31T52.1_17,A31T52,51.423578,-0.2839787
A31T52.1_18,A31T52,51.423578,-0.2839787
A31T52.1_19,A31T52,51.423578,-0.2839787
A31T52.1_2,A31T52,51.423578,-0.2839787
A31T52.1_20,A31T52,51.423578,-0.2839787
A31T52.1_21,A31T52,51.423578,-0.2839787
A31T52.1_22,A31T52,51.423578,-0.2839787
A31T52.1_23,A31T52,51.423578,-0.2839787
A31T52.1_24,A31T52,51.423578,-0.2839787
A31T52.1_25,A31T52,51.423578,-0.2839787
A31T52.1_26,A31T52,51.423578,-0.2839787
A31T52.1_27,A31T52,51.423578,-0.2839787
A31T52.1_28,A31T52,51.423578,-0.2839787
A31T52.1_29,A31T52,51.423578,-0.2839787
A31T52.1_3,A31T52,51.423578,-0.2839787
A31T52.1_30,A31T52,51.423578,-0.2839787
A31T52.1_31,A31T52,51.423578,-0.2839787
A31T52.1_32,A31T52,51.423578,-0.2839787
A31T52.1_33,A31T52,51.423578,-0.2839787
A31T52.1_34,A31T52,51.423578,-0.2839787
A31T52.1_35,A31T52,51.423578,-0.2839787
A31T52.1_36,A31T52,51.423578,-0.2839787
A31T52.1_37,A31T52,51.423578,-0.2839787
A31T52.1_38,A31T52,51.423578,-0.2839787
A31T52.1_39,A31T52,51.423578,-0.2839787
A31T52.1_4,A31T52,51.423578,-0.2839787
A31T52.1_40,A31T52,51.423578,-0.2839787
A31T52.1_41,A31T52,51.423578,-0.2839787
A31T52.1_42,A31T52,51.423578,-0.2839787
A31T52.1_43,A31T52,51.423578,-0.2839787
A31T52.1_44,A31T52,51.423578,-0.2839787
A31T52.1_45,A31T52,51.423578,-0.2839787
A31T52.1_46,A31T52,51.423578,-0.2839787
A31T52.1_47,A31T52,51.423578,-0.2839787
A31T52.1_48,A31T52,51.423578,-0.2839787
A31T52.1_49,A31T52,51.423578,-0.2839787
A31T52.1_5,A31T52,51.423578,-0.2839787
A31T52.1_50,A31T52,51.423578,-0.2839787
A31T52.1_51,A31T52,51.423578,-0.2839787
A31T52.1_52,A31T52,51.423578,-0.2839787
A31T52.1_53,A31T52,51.423578,-0.2839787
A31T52.1_54,A31T52,51.423578,-0.2839787
A31T52.1_55,A31T52,51.423578,-0.2839787
A31T52.1_56,A31T52,51.423578,-0.2839787
A31T52.1_57,A31T52,51.423578,-0.2839787
A31T52.1_58,A31T52,51.423578,-0.2839787
A31T52.1_59,A31T52,51.423578,-0.2839787
A31T52.1_6,A31T52,51.423578,-0.2839787
A31T52.1_60,A31T52,51.423578,-0.2839787
A31T52.1_61,A31T52,51.423578,-0.2839787
A31T52.1_62,A31T52,51.423578,-0.2839787
A31T52.1_63,A31T52,51.423578,-0.2839787
A31T52.1_64,A31T52,51.423578,-0.2839787
A31T52.1_65,A31T52,51.423578,-0.2839787
A31T52.1_66,A31T52,51.423578,-0.2839787
A31T52.1_67,A31T52,51.423578,-0.2839787
A31T52.1_68,A31T52,51.423578,-0.2839787
A31T52.1_69,A31T52,51.423578,-0.2839787
A31T52.1_7,A31T52,51.423578,-0.2839787
A31T52.1_70,A31T52,51.423578,-0.2839787
A31T52.1_71,A31T52,51.423578,-0.2839787
A31T52.1_72,A31T52,51.423578,-0.2839787
A31T52.1_73,A31T52,51.423578,-0.2839787
A31T52.1_74,A31T52,51.423578,-0.2839787
A31T52.1_75,A31T52,51.423578,-0.2839787
A31T52.1_76,A31T52,51.423578,-0.2839787
A31T52.1_77,A31T52,51.423578,-0.2839787
A31T52.1_78,A31T52,51.423578,-0.2839787
A31T52.1_79,A31T52,51.423578,-0.2839787
A31T52.1_8,A31T52,51.423578,-0.2839787
A31T52.1_80,A31T52,51.423578,-0.2839787
A31T52.1_81,A31T52,51.423578,-0.2839787
A31T52.1_82,A31T52,51.423578,-0.2839787
A31T52.1_83,A31T52,51.423578,-0.2839787
A31T52.1_84,A31T52,51.423578,-0.2839787
A31T52.1_85,A31T52,51.423578,-0.2839787
A31T52.1_86,A31T52,51.423578,-0.2839787
A31T52.1_87,A31T52,51.423578,-0.2839787
A31T52.1_88,A31T52,51.423578,-0.2839787
A31T52.1_89,A31T52,51.423578,-0.2839787
A31T52.1_9,A31T52,51.423578,-0.2839787
A31T52.1_90,A31T52,51.423578,-0.2839787
A31T52.1_91,A31T52,51.423578,-0.2839787
A31T52.1_92,A31T52,51.423578,-0.2839787
A31T52.1_93,A31T52,51.423578,-0.2839787
A31T52.1_94,A31T52,51.423578,-0.2839787
A31T52.1_95,A31T52,51.423578,-0.2839787
A31T52.1_96,A31T52,51.423578,-0.2839787
A31T52.1_97,A31T52,51.423578,-0.2839787
A31T52.1_98,A31T52,51.423578,-0.2839787
A31T52.1_99,A31T52,51.423578,-0.2839787
A4T145.1_1,A4T145,51.454984,-0.27143046
A4T156.1_1,A4T156,51.455161,-0.27184119
A4T156.1_10,A4T156,51.455161,-0.27184119
A4T156.1_11,A4T156,51.455161,-0.27184119
A4T156.1_12,A4T156,51.455161,-0.27184119
A4T156.1_13,A4T156,51.455161,-0.27184119
A4T156.1_14,A4T156,51.455161,-0.27184119
A4T156.1_15,A4T156,51.455161,-0.27184119
A4T156.1_16,A4T156,51.455161,-0.27184119
A4T156.1_17,A4T156,51.455161,-0.27184119
A4T156.1_18,A4T156,51.455161,-0.27184119
A4T156.1_19,A4T156,51.455161,-0.27184119
A4T156.1_2,A4T156,51.455161,-0.27184119
A4T156.1_20,A4T156,51.455161,-0.27184119
A4T156.1_21,A4T156,51.455161,-0.27184119
A4T156.1_22,A4T156,51.455161,-0.27184119
A4T156.1_23,A4T156,51.455161,-0.27184119
A4T156.1_24,A4T156,51.455161,-0.27184119
A4T156.1_25,A4T156,51.455161,-0.27184119
A4T156.1_26,A4T156,51.455161,-0.27184119
A4T156.1_27,A4T156,51.455161,-0.27184119
A4T156.1_28,A4T156,51.455161,-0.27184119
